speaker,age,sex,pretest,posttest,learning,rate_sps,f1_M,f1_SD,f1_CoV,f2_M,f2_SD,f2_CoV,vowel_MCV,vowel_sep_MD,vowel_n_tokens,within_variance,between_separation,mean_vowel_cluster_size
M5_01,5,M,83.960396039604,88.019801980198,4.05940594059399,3.92,740.596544039204,104.632196548941,13.0536965471096,2121.45066607133,185.218915092086,9.31254481396465,0.0671345748384809,634.265268954195,18.3142857142857,0.0671345748384809,634.265268954195,342734.503856815
M5_10,5,M,68.0968096809681,76.2376237623762,8.14081408140811,2.39,834.66494731656,133.939368603165,15.282129363297,2170.54719456482,238.770709046174,13.447033491599,0.103122507126275,831.505354163058,19.6578947368421,0.103122507126275,831.505354163058,620345.274235799
M5_11,5,M,67.2029702970297,79.5792079207921,12.3762376237624,3.11,833.569776102034,99.9478495177994,10.7749236283021,2405.82027457972,187.283340771049,8.49845708903977,0.0666551437875807,686.308631659078,18.972602739726,0.0666551437875807,686.308631659078,377569.601867006
M5_12,5,M,83.6633663366337,86.0606060606061,2.3972397239724,3.55,708.905913767547,105.40381826716,13.7264440889957,2355.856953997,173.382359392675,7.76071901416431,0.0532634703292239,579.943129538892,20.1315789473684,0.0532634703292239,579.943129538892,320129.786479548
M5_14,5,M,61.3861386138614,70.1980198019802,8.8118811881188,2.9,779.169718627625,114.776820965117,14.8877200308009,2098.82749804318,241.20137636415,12.4666596607437,0.0943643878606072,633.007505872757,17.1212121212121,0.0943643878606072,633.007505872757,512975.040967291
M5_22,5,M,41.7491749174918,42.7392739273927,0.990099009900902,3.17,635.693737774761,114.983219768752,17.6844606160299,2210.11034870232,221.402515354741,10.8037420005659,0.0951450420338788,656.480180728409,19.0540540540541,0.0951450420338788,656.480180728409,442713.101804871
M5_38,5,M,87.4257425742574,87.2277227722772,-0.198019801980195,2.86,799.786658937543,95.41678342784,12.36901894739,2489.01807445019,232.442573881902,9.62418354230532,0.0584539241272639,791.086508119911,19.7027027027027,0.0584539241272639,791.086508119911,384015.98652235
M5_46,5,M,47.2727272727273,57.6344086021505,10.3616813294232,3.78,724.524893124433,113.369153568921,14.7242936470274,2158.77773819095,249.315312305197,12.6867946681818,0.0806403092607289,610.477141339019,18.9722222222222,0.0806403092607289,610.477141339019,473671.640435482
M6_02,6,M,78.8118811881188,85.7425742574257,6.9306930693069,3.52,769.792336468665,121.80503759441,15.0430778730176,2127.51920284572,204.650354990927,10.2292047972795,0.071356471323262,679.765633211201,19.64,0.071356471323262,679.765633211201,400051.564426637
M6_04,6,M,82.6732673267327,83.5855728429986,0.912305516265903,3.13,805.259954547104,105.297961973963,13.2557163622996,2149.34886598832,206.130940342169,9.92634001028042,0.0783970864050132,664.889146859388,21.225,0.0783970864050132,664.889146859388,380221.72886966
